id,district,winner,Reg_Voters,Amuriat,Amuriat_Oboi_Patrick_VOTES,Kabuleta,Kabuleta_Kiiza_Joseph_VOTES,Kalembe,Kalembe_Nancy_Linda_VOTES,Katumba,Katumba_John_VOTES,Kyagulanyi,Kyagulanyi_Ssentamu_Robert_VOTES,Mao,Mao_Norbert_VOTES,Mayambala,Mayambala_Willy_VOTES,Mugisha,Mugisha_Muntu_Gregg_VOTES,Mwesigye,Mwesigye_Fred_VOTES,Tumukunde,Tumukunde_Henry_Kakurugu_VOTES,Museveni,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,Valid_Votes,,Invalid_Votes,,Total_Votes,perct,Received_Station
46,KANUNGU,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,146064,3682,2.520812794,193,0.132133859,241,0.164996166,755,0.516896703,6722,4.602092234,108,0.073940191,62,0.042447146,812,0.555920692,218,0.149249644,772,0.528535437,72126,49.37972396,85691,58.66674882,3161,2.164119838,88295,60.44952897,309/309
47,KAPCHORWA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,56051,597,1.065101425,65,0.115965817,118,0.21052256,83,0.148079428,7542,13.45560293,144,0.256908887,56,0.099909011,97,0.173056681,72,0.128454443,102,0.181977128,30590,54.5752975,39466,70.41087581,3161,5.639506878,40487,72.23243118,143/143
#N/A,KAPELEBYONG,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,39629,6121,15.44575942,174,0.439072396,141,0.355800045,38,0.095889374,1387,3.499962149,68,0.171591511,37,0.093365969,77,0.194302152,85,0.214489389,119,0.300285145,17529,44.23275884,25776,65.04327639,3161,7.976481869,27428,69.21194075,126/126
#N/A,KARENGA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,18035,107,0.593290823,75,0.415858054,37,0.20515664,32,0.17743277,751,4.164125312,49,0.271693928,54,0.299417799,30,0.166343222,25,0.138619351,178,0.986969781,12819,71.07845855,14157,78.49736623,3161,17.52703077,14830,82.22899917,53/53
48,KASESE,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,384058,9406,2.449109249,626,0.162996214,565,0.147113196,650,0.16924527,102384,26.65847346,641,0.166901874,170,0.044264148,1527,0.397596196,796,0.207260362,1282,0.333803748,109275,28.4527337,227322,59.18949742,3161,0.823052768,234004,60.9293388,684/684
#N/A,KASSANDA,Kyagulanyi_Ssentamu_Robert_VOTES,134798,183,0.135758691,77,0.057122509,78,0.05786436,133,0.098666152,44990,33.37586611,142,0.105342809,23,0.017062568,178,0.132049437,112,0.083087286,193,0.143177198,37265,27.64506892,83374,61.85106604,3161,2.344990282,86864,64.44012522,300/300
49,KATAKWI,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,83162,11710,14.08095043,414,0.497823525,185,0.222457372,105,0.12625959,2108,2.534811573,150,0.180370842,52,0.062528559,254,0.30542796,201,0.241696929,290,0.348716962,40777,49.03321228,56246,67.63425603,3161,3.801014887,56246,67.63425603,193/193
50,KAYUNGA,Kyagulanyi_Ssentamu_Robert_VOTES,190977,571,0.298988883,234,0.122527844,345,0.180650026,226,0.118338858,64172,33.60195207,180,0.094252187,103,0.053933196,294,0.153945239,197,0.103153783,300,0.157086979,35881,18.78812632,102503,53.67295538,3161,1.655173136,107010,56.03292543,338/338
#N/A,KAZO,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,92843,157,0.169102679,24,0.025850091,20,0.021541743,53,0.057085618,879,0.946759583,13,0.014002133,2,0.002154174,231,0.248807126,20,0.021541743,61,0.065702315,73043,78.67367491,74503,80.24622212,3161,3.404672404,75581,81.40732204,206/206
51,KIBAALE,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,68857,129,0.187344787,364,0.528631802,56,0.08132797,71,0.103112247,5429,7.884456192,35,0.050829981,20,0.029045703,168,0.243983909,47,0.068257403,104,0.151037658,35804,51.99761825,42227,61.3256459,3161,4.590673425,43721,63.49535995,156/156
52,KIBOGA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,81434,107,0.131394749,47,0.057715451,67,0.082275217,78,0.095783088,23764,29.18191419,57,0.069995334,10,0.012279883,81,0.099467053,44,0.054031486,68,0.083503205,24254,29.78362846,48577,59.65198811,3161,3.881671046,50629,62.17182012,171/171
53,KIBUKU,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,91971,549,0.596927292,66,0.071761751,169,0.183753574,102,0.110904524,23624,25.68635766,79,0.085896641,45,0.048928467,188,0.20441226,131,0.142436203,215,0.23376934,34078,37.05298409,59246,64.4181318,3161,3.436952953,60660,65.95557295,194/194
#N/A,KIKUUBE,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,112825,360,0.319078218,2210,1.95878573,133,0.117881675,124,0.10990472,10771,9.546643031,72,0.063815644,22,0.019499224,271,0.240194992,115,0.101927764,272,0.241081321,49490,43.86439176,63840,56.58320408,3161,2.801684024,67086,59.46022601,204/204
54,KIRUHURA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,81891,78,0.095248562,1,0.001221135,16,0.019538167,31,0.037855198,616,0.752219414,7,0.008547948,1,0.001221135,155,0.189275989,8,0.009769083,36,0.043960875,75483,92.17496428,76432,93.33382179,3161,3.860009036,76743,93.7135949,189/189
55,KIRYANDONGO,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,125685,894,0.711302065,492,0.391454828,175,0.139236981,150,0.119345984,13893,11.05382504,527,0.419302224,67,0.053307873,258,0.205275092,204,0.162310538,288,0.229144289,38083,30.30035406,55031,43.78485897,3161,2.515017703,59693,47.49413216,244/244
56,KISORO,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,158552,701,0.442126242,227,0.143170695,92,0.058025127,250,0.157676977,7241,4.566955951,108,0.068116454,31,0.019551945,1221,0.770094354,212,0.133710076,255,0.160830516,98694,62.24708613,109032,68.76734447,3161,1.993667693,112014,70.64811544,320/320
#N/A,KITAGWENDA,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,76037,459,0.603653484,67,0.088114997,178,0.234096558,113,0.14861186,4488,5.902389626,54,0.071018057,19,0.024987835,617,0.811447059,87,0.114417981,171,0.224890514,40417,53.15438537,46670,61.37801334,3161,4.157186633,47861,62.94435604,168/168
57,KITGUM,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,99234,2561,2.580768688,606,0.610677792,459,0.46254308,294,0.296269424,14869,14.98377572,3322,3.347642945,500,0.503859564,582,0.586492533,336,0.338593627,571,0.575407622,26880,27.08749017,50980,51.37352117,3161,3.185400165,55439,55.86694077,198/198
58,KOBOKO,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,92845,545,0.586999838,322,0.346814583,247,0.266034789,149,0.160482525,10719,11.5450482,247,0.266034789,215,0.231568744,342,0.368355862,155,0.166944908,555,0.597770478,34410,37.06176962,47906,51.59782433,3161,3.404599063,50839,54.75685282,190/190
59,KOLE,Yoweri_Museveni_Tibuhaburwa_Kaguta_VOTES,119437,938,0.785351273,510,0.427003357,373,0.312298534,371,0.310624011,15937,13.34343629,468,0.391838375,141,0.118053869,447,0.374255884,274,0.229409647,619,0.518264859,46900,39.26756365,66978,56.07809975,3161,2.646583555,70175,58.75482472,224/225
